PPCName,S1,S2,S3,S4,S5
p01_geocnn_r01,0.066036,0.13349,0.23573,0.93845,1
p01_geocnn_r02,0.12134,0.25735,0.31381,0.92691,1
p01_geocnn_r03,0.1945,0.4604,0.33678,0.93107,1
p01_geocnn_r04,0.30097,0.57182,0.36163,0.92093,1
p01_gpcc-octree-predlift_r02,0.18782,0.41232,0.067085,0.77015,0.89458
p01_gpcc-octree-predlift_r03,0.40183,0.66952,0.18047,0.97253,0.99771
p01_gpcc-octree-predlift_r04,0.66739,0.85731,0.3544,0.97925,0.99926
p01_gpcc-octree-predlift_r05,0.74717,0.89762,0.63962,0.99757,0.99977
p01_gpcc-octree-predlift_r06,0.7791,0.91418,0.80066,0.98685,0.99993
p01_gpcc-octree-raht_r02,0.18782,0.41232,0.050659,0.76194,0.89458
p01_gpcc-octree-raht_r03,0.40183,0.66952,0.14439,0.95032,0.99771
p01_gpcc-octree-raht_r04,0.66739,0.85731,0.29126,0.98663,0.99926
p01_gpcc-octree-raht_r05,0.74717,0.89762,0.56469,0.99762,0.99977
p01_gpcc-octree-raht_r06,0.7791,0.91418,0.73896,0.98311,0.99993
p01_vpcc_r00,0.18531,0.35309,0.064038,0.67489,1
p01_vpcc_r01,0.21469,0.39736,0.083914,0.6906,1
p01_vpcc_r02,0.24208,0.43375,0.10796,0.71944,1
p01_vpcc_r03,0.2648,0.46498,0.16152,0.80076,1
p01_vpcc_r04,0.28309,0.48744,0.25195,0.88792,1
p01_vpcc_r05,0.47286,0.66132,0.39461,0.98274,1
p05_geocnn_r01,0.32883,0.47263,0.58475,0.89853,1
p05_geocnn_r02,0.4483,0.64356,0.63003,0.91365,1
p05_geocnn_r03,0.52868,0.72665,0.66601,0.90451,1
p05_geocnn_r04,0.54285,0.81214,0.64997,0.90775,1
p05_gpcc-octree-predlift_r02,0.20925,0.42022,0.11863,0.64074,0.31994
p05_gpcc-octree-predlift_r03,0.41713,0.70561,0.23936,0.81444,0.82902
p05_gpcc-octree-predlift_r04,0.66886,0.85454,0.46255,0.99716,0.92788
p05_gpcc-octree-predlift_r05,0.7511,0.90107,0.67247,0.95778,0.96794
p05_gpcc-octree-predlift_r06,0.77634,0.91108,0.84227,0.98981,0.98408
p05_gpcc-octree-raht_r02,0.20925,0.42022,0.099429,0.6487,0.31994
p05_gpcc-octree-raht_r03,0.41713,0.70561,0.20448,0.80833,0.82902
p05_gpcc-octree-raht_r04,0.66886,0.85454,0.36296,0.9393,0.92788
p05_gpcc-octree-raht_r05,0.7511,0.90107,0.60649,0.99532,0.96794
p05_gpcc-octree-raht_r06,0.77634,0.91108,0.78646,0.97649,0.98408
p05_vpcc_r00,0.36321,0.51247,0.15574,0.69253,1
p05_vpcc_r01,0.42978,0.60384,0.20483,0.71559,1
p05_vpcc_r02,0.47433,0.65356,0.25948,0.73576,1
p05_vpcc_r03,0.50541,0.69278,0.3286,0.78172,1
p05_vpcc_r04,0.53151,0.71643,0.43052,0.87881,1
p05_vpcc_r05,0.57219,0.76409,0.60362,0.98427,1
p07_geocnn_r01,0.34148,0.48301,0.62297,0.99402,1
p07_geocnn_r02,0.47162,0.68819,0.62827,0.99966,1
p07_geocnn_r03,0.56039,0.76072,0.68186,0.98692,1
p07_geocnn_r04,0.54327,0.81347,0.65785,0.99441,1
p07_gpcc-octree-predlift_r02,0.21379,0.44011,0.10189,0.5665,0.30437
p07_gpcc-octree-predlift_r03,0.41777,0.70388,0.17365,0.70142,0.81522
p07_gpcc-octree-predlift_r04,0.67372,0.86381,0.3529,0.91176,0.92153
p07_gpcc-octree-predlift_r05,0.75176,0.90263,0.59166,0.98176,0.96519
p07_gpcc-octree-predlift_r06,0.779,0.91434,0.80449,0.96908,0.98608
p07_gpcc-octree-raht_r02,0.21379,0.44011,0.089424,0.56719,0.30437
p07_gpcc-octree-raht_r03,0.41777,0.70388,0.14427,0.69012,0.81522
p07_gpcc-octree-raht_r04,0.67372,0.86381,0.26403,0.86963,0.92153
p07_gpcc-octree-raht_r05,0.75176,0.90263,0.51226,0.97784,0.96519
p07_gpcc-octree-raht_r06,0.779,0.91434,0.73779,0.95453,0.98608
p07_vpcc_r00,0.35119,0.49947,0.1071,0.58316,1
p07_vpcc_r01,0.41596,0.58365,0.13431,0.61154,1
p07_vpcc_r02,0.46687,0.64005,0.17809,0.65441,1
p07_vpcc_r03,0.50655,0.68546,0.23819,0.72222,1
p07_vpcc_r04,0.53236,0.70927,0.34209,0.84348,1
p07_vpcc_r05,0.57284,0.75876,0.54895,0.96303,1
p12_geocnn_r01,0.81396,0.86176,0.73648,0.78942,1
p12_geocnn_r02,0.86048,0.90449,0.7656,0.77958,1
p12_geocnn_r03,0.89855,0.93037,0.7798,0.76578,1
p12_geocnn_r04,0.92742,0.9546,0.79041,0.75671,1
p12_gpcc-octree-predlift_r02,0.22804,0.5052,0.21126,0.54577,0.066153
p12_gpcc-octree-predlift_r03,0.48103,0.75447,0.38552,0.63924,0.26036
p12_gpcc-octree-predlift_r04,0.70714,0.88688,0.66325,0.8943,0.5737
p12_gpcc-octree-predlift_r05,0.76426,0.90914,0.81872,0.94967,0.77314
p12_gpcc-octree-predlift_r06,0.78509,0.91828,0.89735,0.95357,0.88347
p12_gpcc-octree-raht_r02,0.22804,0.5052,0.18685,0.55268,0.066153
p12_gpcc-octree-raht_r03,0.48103,0.75447,0.36121,0.6404,0.26036
p12_gpcc-octree-raht_r04,0.70714,0.88688,0.62634,0.8713,0.5737
p12_gpcc-octree-raht_r05,0.76426,0.90914,0.79806,0.93757,0.77314
p12_gpcc-octree-raht_r06,0.78509,0.91828,0.88235,0.93947,0.88347
p12_vpcc_r00,0.50638,0.68771,0.29317,0.67903,0.7759
p12_vpcc_r01,0.62425,0.76742,0.41476,0.75457,0.88318
p12_vpcc_r02,0.71062,0.81703,0.54599,0.8147,0.9593
p12_vpcc_r03,0.76714,0.85482,0.67544,0.86467,0.97431
p12_vpcc_r04,0.80955,0.88165,0.78856,0.90177,0.99639
p12_vpcc_r05,0.84595,0.91235,0.85314,0.921,0.95522
p19_geocnn_r01,0.83371,0.87213,0.36959,0.94614,1
p19_geocnn_r02,0.86782,0.90245,0.3765,0.94191,1
p19_geocnn_r03,0.90227,0.93011,0.38635,0.93658,1
p19_geocnn_r04,0.93198,0.95542,0.39326,0.93201,1
p19_gpcc-octree-predlift_r02,0.23045,0.49197,0.030663,0.51277,0.066419
p19_gpcc-octree-predlift_r03,0.48209,0.73853,0.051744,0.5736,0.26243
p19_gpcc-octree-predlift_r04,0.70712,0.8829,0.16644,0.81646,0.57701
p19_gpcc-octree-predlift_r05,0.76387,0.90737,0.34955,0.8802,0.77554
p19_gpcc-octree-predlift_r06,0.784,0.91614,0.53323,0.91419,0.88412
p19_gpcc-octree-raht_r02,0.23045,0.49197,0.028582,0.51093,0.066419
p19_gpcc-octree-raht_r03,0.48209,0.73853,0.044476,0.56272,0.26243
p19_gpcc-octree-raht_r04,0.70712,0.8829,0.14183,0.7856,0.57701
p19_gpcc-octree-raht_r05,0.76387,0.90737,0.3298,0.86932,0.77554
p19_gpcc-octree-raht_r06,0.784,0.91614,0.4953,0.90268,0.88412
p19_vpcc_r00,0.55986,0.71178,0.031318,0.53633,0.85651
p19_vpcc_r01,0.66519,0.7824,0.040683,0.57663,0.92387
p19_vpcc_r02,0.74212,0.83099,0.092779,0.74661,0.9599
p19_vpcc_r03,0.78953,0.86514,0.23258,0.87573,0.96501
p19_vpcc_r04,0.82643,0.88995,0.42749,0.92581,0.98046
p19_vpcc_r05,0.85109,0.91013,0.55936,0.94045,0.9634
p29_geocnn_r01,0.79643,0.81301,0.34468,0.69779,1
p29_geocnn_r02,0.85973,0.88207,0.39047,0.70399,1
p29_geocnn_r03,0.90932,0.92093,0.42852,0.694,1
p29_geocnn_r04,0.94032,0.95528,0.41345,0.69285,1
p29_gpcc-octree-predlift_r02,0.28018,0.57295,0.049303,0.52325,0.058656
p29_gpcc-octree-predlift_r03,0.521,0.74771,0.080264,0.6603,0.24625
p29_gpcc-octree-predlift_r04,0.73825,0.91083,0.26492,0.93885,0.56003
p29_gpcc-octree-predlift_r05,0.76039,0.89685,0.47522,0.96076,0.75515
p29_gpcc-octree-predlift_r06,0.79701,0.93047,0.57558,0.96212,0.87965
p29_gpcc-octree-raht_r02,0.28018,0.57295,0.047933,0.51713,0.058656
p29_gpcc-octree-raht_r03,0.521,0.74771,0.078877,0.66517,0.24625
p29_gpcc-octree-raht_r04,0.73825,0.91083,0.2351,0.92869,0.56003
p29_gpcc-octree-raht_r05,0.76039,0.89685,0.45179,0.95549,0.75515
p29_gpcc-octree-raht_r06,0.79701,0.93047,0.55559,0.9565,0.87965
p29_vpcc_r00,0.49592,0.61959,0.098303,0.76744,0.90241
p29_vpcc_r01,0.59488,0.70163,0.12828,0.85016,0.94389
p29_vpcc_r02,0.67423,0.7576,0.15587,0.92933,0.96675
p29_vpcc_r03,0.72921,0.80114,0.20052,0.95717,0.97129
p29_vpcc_r04,0.775,0.83754,0.25651,0.9616,0.9776
p29_vpcc_r05,0.82436,0.92183,0.26584,0.95955,0.91457
p30_geocnn_r01,0.76209,0.7611,0.46267,0.75456,1
p30_geocnn_r02,0.86758,0.87511,0.504,0.75192,1
p30_geocnn_r03,0.92625,0.94847,0.52448,0.75145,1
p30_geocnn_r04,0.95012,0.97235,0.53063,0.75134,1
p30_gpcc-octree-predlift_r02,0.26228,0.46446,0.070079,0.52424,0.062372
p30_gpcc-octree-predlift_r03,0.45765,0.61262,0.11593,0.67797,0.25404
p30_gpcc-octree-predlift_r04,0.72223,0.88156,0.49626,0.96239,0.57076
p30_gpcc-octree-predlift_r05,0.77055,0.90823,0.36624,0.89514,0.76962
p30_gpcc-octree-predlift_r06,0.7798,0.9088,0.64467,0.94394,0.8775
p30_gpcc-octree-raht_r02,0.26228,0.46446,0.068795,0.52487,0.062372
p30_gpcc-octree-raht_r03,0.45765,0.61262,0.11488,0.675,0.25404
p30_gpcc-octree-raht_r04,0.72223,0.88156,0.52104,0.91155,0.57076
p30_gpcc-octree-raht_r05,0.77055,0.90823,0.36444,0.88851,0.76962
p30_gpcc-octree-raht_r06,0.7798,0.9088,0.63974,0.93844,0.8775
p30_vpcc_r00,0.61279,0.67369,0.1708,0.72041,0.99623
p30_vpcc_r01,0.70172,0.76303,0.24131,0.84514,1
p30_vpcc_r02,0.77614,0.81386,0.27409,0.92239,1
p30_vpcc_r03,0.82537,0.86286,0.31521,0.93664,1
p30_vpcc_r04,0.85591,0.88534,0.30465,0.936,1
p30_vpcc_r05,0.8961,0.9365,0.31177,0.93258,0.99262
p32_gpcc-octree-predlift_r02,0.26481,0.46677,0.24667,0.50628,0.063128
p32_gpcc-octree-predlift_r03,0.50487,0.69277,0.43536,0.68569,0.25307
p32_gpcc-octree-predlift_r04,0.7251,0.88388,0.67576,0.88181,0.5634
p32_gpcc-octree-predlift_r05,0.80613,0.95767,0.84111,0.91047,0.76668
p32_gpcc-octree-predlift_r06,0.77186,0.89561,0.87753,0.95272,0.88128
p32_gpcc-octree-raht_r02,0.26481,0.46677,0.25842,0.50742,0.063128
p32_gpcc-octree-raht_r03,0.50487,0.69277,0.41558,0.67396,0.25307
p32_gpcc-octree-raht_r04,0.7251,0.88388,0.64377,0.85675,0.5634
p32_gpcc-octree-raht_r05,0.80613,0.95767,0.81911,0.89303,0.76668
p32_gpcc-octree-raht_r06,0.77186,0.89561,0.85577,0.93762,0.88128
p32_vpcc_r00,0.71721,0.75842,0.47609,0.77458,0.96531
p32_vpcc_r01,0.80373,0.84,0.61898,0.85463,0.98525
p32_vpcc_r02,0.90388,0.92284,0.72736,0.91279,1
p32_vpcc_r03,0.93227,0.94801,0.81127,0.95426,1
p32_vpcc_r04,0.951,0.9631,0.85497,0.98613,1
p32_vpcc_r05,0.96863,0.98197,0.88356,0.99231,0.99854
p38_geocnn_r01,0.76023,0.78132,0.43653,0.74121,1
p38_geocnn_r02,0.82369,0.84515,0.48742,0.75001,1
p38_geocnn_r03,0.87103,0.90174,0.51561,0.75085,1
p38_geocnn_r04,0.9097,0.93945,0.53869,0.74451,1
p38_gpcc-octree-predlift_r02,0.25688,0.49234,0.046686,0.51209,0.059236
p38_gpcc-octree-predlift_r03,0.51,0.73716,0.095416,0.73021,0.25321
p38_gpcc-octree-predlift_r04,0.71929,0.88447,0.30684,0.9851,0.56897
p38_gpcc-octree-predlift_r05,0.77425,0.91616,0.55954,0.96563,0.77061
p38_gpcc-octree-predlift_r06,0.79522,0.92917,0.7531,0.94993,0.88174
p38_gpcc-octree-raht_r02,0.25688,0.49234,0.047293,0.51765,0.059236
p38_gpcc-octree-raht_r03,0.51,0.73716,0.094551,0.70955,0.25321
p38_gpcc-octree-raht_r04,0.71929,0.88447,0.29666,0.92306,0.56897
p38_gpcc-octree-raht_r05,0.77425,0.91616,0.5423,0.93015,0.77061
p38_gpcc-octree-raht_r06,0.79522,0.92917,0.72645,0.92717,0.88174
p38_vpcc_r00,0.012618,0.59099,0.097602,0.65044,0.77403
p38_vpcc_r01,0.012665,0.66107,0.1324,0.68916,0.80137
p38_vpcc_r02,0.012716,0.71554,0.16768,0.72882,0.83096
p38_vpcc_r03,0.012897,0.76613,0.21001,0.7974,0.83791
p38_vpcc_r04,0.012977,0.80114,0.23231,0.86378,0.84292
p38_vpcc_r05,0.013054,0.86494,0.23977,0.88936,0.78888
p47_geocnn_r01,0.80769,0.83474,0.70924,0.93149,1
p47_geocnn_r02,0.87389,0.90761,0.72263,0.92496,1
p47_geocnn_r03,0.91054,0.94508,0.72881,0.92092,1
p47_geocnn_r04,0.93499,0.96412,0.735,0.91551,1
p47_gpcc-octree-predlift_r02,0.22562,0.42593,0.10272,0.51151,0.069563
p47_gpcc-octree-predlift_r03,0.48698,0.71877,0.15139,0.55754,0.27106
p47_gpcc-octree-predlift_r04,0.69694,0.85846,0.30681,0.74764,0.58708
p47_gpcc-octree-predlift_r05,0.76625,0.90745,0.56088,0.85145,0.78155
p47_gpcc-octree-predlift_r06,0.78472,0.9156,0.74892,0.88147,0.88888
p47_gpcc-octree-raht_r02,0.22562,0.42593,0.096318,0.51281,0.069563
p47_gpcc-octree-raht_r03,0.48698,0.71877,0.12929,0.55524,0.27106
p47_gpcc-octree-raht_r04,0.69694,0.85846,0.26436,0.70492,0.58708
p47_gpcc-octree-raht_r05,0.76625,0.90745,0.52005,0.82718,0.78155
p47_gpcc-octree-raht_r06,0.78472,0.9156,0.70045,0.86038,0.88888
p47_vpcc_r00,0.57778,0.6966,0.10692,0.54731,0.90927
p47_vpcc_r01,0.67766,0.77427,0.12946,0.56259,0.96473
p47_vpcc_r02,0.75086,0.82651,0.18473,0.60495,0.99556
p47_vpcc_r03,0.80454,0.86501,0.33191,0.73289,1
p47_vpcc_r04,0.84155,0.89503,0.59509,0.86583,1
p47_vpcc_r05,0.87502,0.92848,0.78013,0.92487,0.99128
p57_geocnn_r01,0.64185,0.71543,0.25098,0.88671,1
p57_geocnn_r02,0.74996,0.8014,0.26775,0.88371,1
p57_geocnn_r03,0.82238,0.85818,0.29225,0.87889,1
p57_geocnn_r04,0.87021,0.9184,0.29439,0.87808,0.99596
p57_gpcc-octree-predlift_r02,0.237,0.46779,0.026817,0.52164,0.064731
p57_gpcc-octree-predlift_r03,0.48725,0.71985,0.052302,0.63484,0.2612
p57_gpcc-octree-predlift_r04,0.7066,0.87247,0.1725,0.86551,0.5748
p57_gpcc-octree-predlift_r05,0.76513,0.90547,0.35454,0.90131,0.77563
p57_gpcc-octree-predlift_r06,0.78814,0.91866,0.53023,0.92624,0.88629
p57_gpcc-octree-raht_r02,0.237,0.46779,0.025155,0.52346,0.064731
p57_gpcc-octree-raht_r03,0.48725,0.71985,0.049853,0.62458,0.2612
p57_gpcc-octree-raht_r04,0.7066,0.87247,0.15262,0.82463,0.5748
p57_gpcc-octree-raht_r05,0.76513,0.90547,0.3389,0.8871,0.77563
p57_gpcc-octree-raht_r06,0.78814,0.91866,0.49947,0.91306,0.88629
p57_vpcc_r00,0.37435,0.51339,0.035201,0.59809,0.93853
p57_vpcc_r01,0.47128,0.5987,0.051097,0.64371,0.98647
p57_vpcc_r02,0.56026,0.66747,0.091192,0.74579,1
p57_vpcc_r03,0.63434,0.72493,0.19165,0.86836,1
p57_vpcc_r04,0.68381,0.76533,0.30881,0.91547,1
p57_vpcc_r05,0.73849,0.84319,0.33441,0.92255,0.91553
p59_geocnn_r01,0.78588,0.82517,0.4979,0.86493,1
p59_geocnn_r02,0.84353,0.87884,0.52673,0.85316,1
p59_geocnn_r03,0.88586,0.91727,0.55436,0.84298,1
p59_geocnn_r04,0.91941,0.95169,0.56692,0.83752,1
p59_gpcc-octree-predlift_r02,0.25644,0.50018,0.08395,0.52517,0.065848
p59_gpcc-octree-predlift_r03,0.50358,0.73067,0.1562,0.61896,0.26241
p59_gpcc-octree-predlift_r04,0.72322,0.89147,0.38521,0.83665,0.57635
p59_gpcc-octree-predlift_r05,0.77787,0.92145,0.62477,0.88869,0.77448
p59_gpcc-octree-predlift_r06,0.79727,0.93127,0.78145,0.91161,0.88495
p59_gpcc-octree-raht_r02,0.25644,0.50018,0.078468,0.52494,0.065848
p59_gpcc-octree-raht_r03,0.50358,0.73067,0.15055,0.61414,0.26241
p59_gpcc-octree-raht_r04,0.72322,0.89147,0.35626,0.80567,0.57635
p59_gpcc-octree-raht_r05,0.77787,0.92145,0.60412,0.87156,0.77448
p59_gpcc-octree-raht_r06,0.79727,0.93127,0.75546,0.89707,0.88495
p59_vpcc_r00,0.53636,0.66544,0.12055,0.62392,0.93508
p59_vpcc_r01,0.64392,0.75335,0.17267,0.67075,0.9674
p59_vpcc_r02,0.7226,0.80624,0.2641,0.7349,0.99598
p59_vpcc_r03,0.78294,0.84738,0.40382,0.80367,1
p59_vpcc_r04,0.81919,0.87858,0.55482,0.86558,1
p59_vpcc_r05,0.85802,0.91679,0.63075,0.88904,0.97372
p61_geocnn_r01,0.81783,0.84444,0.34144,0.81452,1
p61_geocnn_r02,0.86099,0.88298,0.35555,0.8085,1
p61_geocnn_r03,0.90138,0.93053,0.37133,0.80535,1
p61_geocnn_r04,0.9294,0.95615,0.38452,0.79757,0.99989
p61_gpcc-octree-predlift_r02,0.2561,0.49523,0.046927,0.5295,0.064777
p61_gpcc-octree-predlift_r03,0.513,0.74564,0.098723,0.63897,0.258
p61_gpcc-octree-predlift_r04,0.72311,0.89047,0.29726,0.8594,0.57214
p61_gpcc-octree-predlift_r05,0.78468,0.93036,0.5312,0.91076,0.77255
p61_gpcc-octree-predlift_r06,0.80065,0.93623,0.66863,0.92618,0.88164
p61_gpcc-octree-raht_r02,0.2561,0.49523,0.046025,0.52956,0.064777
p61_gpcc-octree-raht_r03,0.513,0.74564,0.093942,0.63391,0.258
p61_gpcc-octree-raht_r04,0.72311,0.89047,0.27599,0.83515,0.57214
p61_gpcc-octree-raht_r05,0.78468,0.93036,0.51984,0.89749,0.77255
p61_gpcc-octree-raht_r06,0.80065,0.93623,0.64883,0.91583,0.88164
p61_vpcc_r00,0.57656,0.70823,0.087014,0.68139,0.91364
p61_vpcc_r01,0.67698,0.77724,0.13935,0.735,0.95887
p61_vpcc_r02,0.75039,0.82668,0.23328,0.79684,0.97937
p61_vpcc_r03,0.80388,0.86644,0.35514,0.85315,0.98032
p61_vpcc_r04,0.83922,0.88962,0.47203,0.8935,0.99864
p61_vpcc_r05,0.872,0.9228,0.51631,0.90952,0.97156
p63_geocnn_r01,0.75119,0.74682,0.40077,0.83692,1
p63_geocnn_r02,0.88801,0.91155,0.42873,0.83666,1
p63_geocnn_r03,0.92976,0.9524,0.43621,0.83712,1
p63_geocnn_r04,0.95524,0.97302,0.44027,0.8379,1
p63_gpcc-octree-predlift_r02,0.24089,0.44768,0.025238,0.50606,0.065462
p63_gpcc-octree-predlift_r03,0.49014,0.70419,0.048825,0.61501,0.26039
p63_gpcc-octree-predlift_r04,0.70944,0.87136,0.16803,0.88431,0.5733
p63_gpcc-octree-predlift_r05,0.76613,0.90519,0.36492,0.92535,0.77384
p63_gpcc-octree-predlift_r06,0.78356,0.91322,0.55932,0.94175,0.88329
p63_gpcc-octree-raht_r02,0.24089,0.44768,0.02419,0.50771,0.065462
p63_gpcc-octree-raht_r03,0.49014,0.70419,0.03787,0.58891,0.26039
p63_gpcc-octree-raht_r04,0.70944,0.87136,0.1367,0.83905,0.5733
p63_gpcc-octree-raht_r05,0.76613,0.90519,0.3406,0.91305,0.77384
p63_gpcc-octree-raht_r06,0.78356,0.91322,0.5124,0.92856,0.88329
p63_vpcc_r00,0.59447,0.67746,0.028092,0.54582,0.95242
p63_vpcc_r01,0.69967,0.76897,0.060615,0.71794,0.97958
p63_vpcc_r02,0.76614,0.82079,0.12472,0.88404,0.98601
p63_vpcc_r03,0.81787,0.86428,0.26693,0.97768,0.9928
p63_vpcc_r04,0.85885,0.89886,0.56201,0.98628,0.99646
p63_vpcc_r05,0.88455,0.92397,0.74803,0.99017,0.97978
p66_geocnn_r01,0.70134,0.70081,0.62162,0.8616,1
p66_geocnn_r02,0.83542,0.8425,0.64151,0.85197,1
p66_geocnn_r03,0.91216,0.93387,0.67705,0.83731,1
p66_geocnn_r04,0.94289,0.96515,0.68137,0.83196,0.99965
p66_gpcc-octree-predlift_r02,0.24103,0.43839,0.1144,0.51619,0.065167
p66_gpcc-octree-predlift_r03,0.48923,0.69387,0.19279,0.60594,0.25759
p66_gpcc-octree-predlift_r04,0.70871,0.86855,0.40289,0.81547,0.57124
p66_gpcc-octree-predlift_r05,0.75803,0.8934,0.6404,0.88152,0.77153
p66_gpcc-octree-predlift_r06,0.7901,0.92231,0.80437,0.90486,0.88148
p66_gpcc-octree-raht_r02,0.24103,0.43839,0.1048,0.51752,0.065167
p66_gpcc-octree-raht_r03,0.48923,0.69387,0.17161,0.59894,0.25759
p66_gpcc-octree-raht_r04,0.70871,0.86855,0.35893,0.78012,0.57124
p66_gpcc-octree-raht_r05,0.75803,0.8934,0.61519,0.8547,0.77153
p66_gpcc-octree-raht_r06,0.7901,0.92231,0.77148,0.88503,0.88148
p66_vpcc_r00,0.56657,0.65733,0.13088,0.58386,0.92803
p66_vpcc_r01,0.67337,0.75154,0.17026,0.62343,0.96855
p66_vpcc_r02,0.74029,0.80242,0.25989,0.68637,0.98809
p66_vpcc_r03,0.79076,0.84156,0.40567,0.75523,1
p66_vpcc_r04,0.82752,0.87013,0.58316,0.83483,1
p66_vpcc_r05,0.85899,0.9099,0.64385,0.87483,0.97737
